target,outer_fold,inner_fold,config_id,selection_metric,selection_metric_value,final_train_loss,hidden_dim,dropout,learning_rate,weight_decay,batch_size,threshold,activation,hamming_loss,exact_match,precision_micro,recall_micro,f1_micro,f1_macro
GDS_R1,1,2,5,f1_macro,0.3054545454545455,0.2818432045262932,32,0.5,0.001,0.0,32,0.5,relu,0.1029082774049217,0.8456375838926175,0.8456375838926175,0.8456375838926175,0.8456375838926175,0.3054545454545455
GDS_R1,1,3,5,f1_macro,0.3060109289617486,0.3045373853027721,32,0.5,0.001,0.0,32,0.5,relu,0.10101010101010101,0.8484848484848485,0.8484848484848485,0.8484848484848485,0.8484848484848486,0.3060109289617486
GDS_R1,1,1,6,f1_macro,0.4216791979949875,0.18743242813008174,32,0.3,0.01,0.0,32,0.5,relu,0.08249721293199554,0.8695652173913043,0.8813559322033898,0.8695652173913043,0.8754208754208753,0.4216791979949875
GDS_R1,1,2,6,f1_macro,0.4414644529587058,0.2071690204359541,32,0.3,0.01,0.0,32,0.5,relu,0.07158836689038031,0.8691275167785235,0.9119718309859155,0.8691275167785235,0.8900343642611684,0.4414644529587058
GDS_R1,1,3,6,f1_macro,0.5048923679060665,0.16249668143901794,32,0.3,0.01,0.0,32,0.5,relu,0.07519640852974187,0.8855218855218855,0.8885135135135135,0.8855218855218855,0.8870151770657673,0.5048923679060665
GDS_R1,1,1,7,f1_macro,0.3055555555555555,0.2923415812624603,32,0.3,0.001,0.0001,32,0.5,relu,0.10256410256410256,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.3055555555555555
GDS_R1,1,2,7,f1_macro,0.3054545454545455,0.25432453259525684,32,0.3,0.001,0.0001,32,0.5,relu,0.1029082774049217,0.8456375838926175,0.8456375838926175,0.8456375838926175,0.8456375838926175,0.3054545454545455
GDS_R1,1,3,7,f1_macro,0.3060109289617486,0.25603148301242784,32,0.3,0.001,0.0001,32,0.5,relu,0.10101010101010101,0.8484848484848485,0.8484848484848485,0.8484848484848485,0.8484848484848486,0.3060109289617486
GDS_R1,1,1,8,f1_macro,0.3055555555555555,0.22027870146166376,32,0.3,0.001,0.0,16,0.5,relu,0.10256410256410256,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.3055555555555555
GDS_R1,1,2,8,f1_macro,0.3054545454545455,0.2418291440746128,32,0.3,0.001,0.0,16,0.5,relu,0.1029082774049217,0.8456375838926175,0.8456375838926175,0.8456375838926175,0.8456375838926175,0.3054545454545455
GDS_R1,1,3,8,f1_macro,0.3060109289617486,0.2248703529075462,32,0.3,0.001,0.0,16,0.5,relu,0.10101010101010101,0.8484848484848485,0.8484848484848485,0.8484848484848485,0.8484848484848486,0.3060109289617486
GDS_R1,1,1,9,f1_macro,0.6833333333333332,0.2692655705604233,32,0.3,0.001,0.0,32,0.4,relu,0.09364548494983277,0.8461538461538461,0.8391167192429022,0.8896321070234113,0.8636363636363635,0.6833333333333332
GDS_R1,1,2,9,f1_macro,0.5693434343434344,0.2782784328364686,32,0.3,0.001,0.0,32,0.4,relu,0.1017897091722595,0.8456375838926175,0.8349514563106796,0.8657718120805369,0.8500823723228995,0.5693434343434344
GDS_R1,1,3,9,f1_macro,0.484462107412927,0.2575614019554464,32,0.3,0.001,0.0,32,0.4,relu,0.10101010101010101,0.8484848484848485,0.839344262295082,0.8619528619528619,0.8504983388704319,0.484462107412927
GDS_R1,1,1,10,f1_macro,0.31004901960784315,0.27676419400367414,32,0.3,0.001,0.0,32,0.6,relu,0.09364548494983277,0.8461538461538461,0.8694158075601375,0.8461538461538461,0.8576271186440678,0.31004901960784315
GDS_R1,1,2,10,f1_macro,0.31168831168831174,0.2796295701257335,32,0.3,0.001,0.0,32,0.6,relu,0.09060402684563758,0.8456375838926175,0.8780487804878049,0.8456375838926175,0.8615384615384615,0.31168831168831174
GDS_R1,1,3,10,f1_macro,0.31053604436229204,0.2790857297391748,32,0.3,0.001,0.0,32,0.6,relu,0.0920314253647587,0.8484848484848485,0.8719723183391004,0.8484848484848485,0.8600682593856654,0.31053604436229204
GDS_R1,1,1,11,f1_macro,0.3055555555555555,0.2710009212754354,32,0.3,0.001,0.0,32,0.5,tanh,0.10256410256410256,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.3055555555555555
GDS_R1,1,2,11,f1_macro,0.30656934306569344,0.30256842966847775,32,0.3,0.001,0.0,32,0.5,tanh,0.10067114093959731,0.8456375838926175,0.8513513513513513,0.8456375838926175,0.8484848484848485,0.30656934306569344
GDS_R1,1,3,11,f1_macro,0.3060109289617486,0.2912091305807008,32,0.3,0.001,0.0,32,0.5,tanh,0.10101010101010101,0.8484848484848485,0.8484848484848485,0.8484848484848485,0.8484848484848486,0.3060109289617486
GDS_R1,1,1,12,f1_macro,0.3055555555555555,0.245677980404942,32,0.3,0.001,0.0,32,0.5,leaky_relu,0.10256410256410256,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.3055555555555555
